Protein1	Protein2	Score
YOL086C	YHR196W	0.854803
YOR133W	YDR385W	0.853467
YDR385W	YOR133W	0.853467
YBR009C	YNL030W	0.834445
YNL030W	YBR009C	0.834445
YHR196W	YOL086C	0.801671
YBR010W	YNL031C	0.792352
YNL031C	YBR010W	0.792352
YPL231W	YKL182W	0.783838
YKR059W	YJL138C	0.739086
YJL138C	YKR059W	0.739086
YBR126C	YNL160W	0.610426
YOR224C	YPR129W	0.585863
YPR191W	YJR121W	0.583829
YIL053W	YER081W	0.517201
YDR174W	YHR068W	0.516579
YMR205C	YGR240C	0.491104
YNL160W	YBR126C	0.487761
YMR205C	YHR020W	0.484310
YDR454C	YGR155W	0.471712
YOR198C	YDR129C	0.467703
YFR030W	YIL074C	0.465556
YPR129W	YOR224C	0.460658
YIL041W	YOR027W	0.455010
YNL135C	YLR109W	0.441273
YPL231W	YGR175C	0.439662
YNL244C	YBR025C	0.435932
YOL154W	YGL009C	0.423068
YKL182W	YPL231W	0.409424
YDR429C	YEL030W	0.403306
YBL099W	YJR077C	0.401268
YIL074C	YFR030W	0.400331
YJR121W	YPR191W	0.393143
YER057C	YKL142W	0.383655
YHR020W	YMR205C	0.382880
YNL247W	YBR096W	0.382727
YJR077C	YBL099W	0.381009
YPL106C	YLR244C	0.368438
YOR027W	YIL041W	0.362481
YLR027C	YEL071W	0.359114
YGR175C	YPL231W	0.353798
YPR191W	YGL187C	0.350760
YML008C	YNR043W	0.349288
YJR070C	YNL141W	0.347432
YDR099W	YER057C	0.340690
YNL141W	YJR070C	0.332614
YGL009C	YLR355C	0.329338
YIL078W	YNR021W	0.327146
YLR301W	YLR421C	0.325495
YBR127C	YKL081W	0.321367
YOR230W	YNL134C	0.317243
YPR069C	YBR127C	0.314548
YGR175C	YML008C	0.314015
YLR167W	YDL143W	0.306131
YLR180W	YGL253W	0.304145
YGR094W	YBL076C	0.303191
YKL181W	YGL200C	0.302588
YLR167W	YDR381W	0.300644
YJL052W	YBR072W	0.297757
YFL005W	YBR164C	0.294956
YGR282C	YDL086W	0.291742
YDR453C	YHR200W	0.288713
YER057C	YDR099W	0.283752
YBL041W	YOL097C	0.283477
