Gene1	Gene2	Score
YOR203W	YOR202W	0.814585
YDL037C	YDL039C	0.708381
YOR387C	YGL258W	0.692518
YDL039C	YDL037C	0.681498
YOR202W	YOR203W	0.642972
tL(CAA)C	YCL018W	0.630291
YJL012C	YPL019C	0.581956
YPL019C	YJL012C	0.572299
snR34	snR37	0.540272
YOR375C	YLR134W	0.539327
YER145C	YMR058W	0.515368
YOL126C	YKL216W	0.485876
YMR058W	YER145C	0.484429
YLR162W-A	RDN5-1	0.480709
YLR162W-A	YLR162W	0.437068
YJR137C	YFR030W	0.435399
YFR032C-A	YHR049C-A	0.433414
YER067C-A	YER067W	0.431074
YGR259C	YER053C-A	0.42239
YMR291W	YKR075C	0.421787
YLR412C-A	YLR160C	0.420886
YLR162W	YLR162W-A	0.41799
YKR030W	RUF20	0.414797
YHR143W	YLR286C	0.410638
YOR359W	YGR079W	0.400576
YIL177C	YLL067C	0.394632
YDL232W	YDL023C	0.391894
YHR136C	YML123C	0.379343
tE(UUC)E1	YLR162W	0.379241
YOL123W	YNL251C	0.369165
YOL143C	YLR420W	0.365265
YER124C	YHR143W	0.364444
YGR160W	YNL174W	0.357854
YDL230W	YCL016C	0.354635
YEL065W	YOR383C	0.349456
YLR046C	YFL013W-A	0.346501
YHR030C	YPL089C	0.345021
YMR189W	YNL284C-A	0.341977
YOR161C	YBR285W	0.339336
YFR030W	YJR137C	0.338113
YGR037C	YGL039W	0.337639
YKL104C	YBL099W	0.33469
YDR446W	YLR342W-A	0.330653
YGL263W	YPR078C	0.328399
YLR162W	tE(UUC)E1	0.31995
YNL135C	YBR230W-A	0.319161
YGL001C	YER044C	0.318211
YDR299W	YDR449C	0.316417
YFL052W	YFL051C	0.315316
YER053C-A	YGR259C	0.313172
YIL177C	YML009W-B	0.309337
YBR090C	YKL169C	0.308929
YGL263W	YKL102C	0.308355
YFR015C	YDR343C	0.307403
YEL065W	YOR382W	0.306538
YCL018W	tL(CAA)C	0.306066
YPL272C	YER011W	0.304285
YGL148W	YHR025W	0.30261
YJL130C	HRA1	0.299907
YNL160W	YJL079C	0.299907
YOL154W	YGR205W	0.293392
YCL009C	YPL250C	0.292654
YBR229C	YLL013C	0.291219
YFR044C	YIL123W	0.290072
YCL042W	YHR071C-A	0.28958
YOR331C	YER145C-A	0.289379
YOR387C	tL(CAA)C	0.286905
YGL258W	YBR047W	0.281559
YDR343C	YFR015C	0.281015
YDL026W	tD(GUC)I1	0.281012
YDL016C	YBR126W-B	0.278844
YGL257C	YNL254C	0.27769
YBR212W	YIL028W	0.277133
YER067W	YEL011W	0.276728
YDR299W	YOR315W	0.276721
YNR073C	YEL021W	0.276187
YGL255W	YKL175W	0.274147
YHR054C	tW(CCA)G1	0.273263
YDR380W	YPL061W	0.272584
YFL031W	YOR248W	0.272379
YLR359W	YKR080W	0.269748
YHL036W	YOR128C	0.269325
YLR438W	YIR032C	0.267806
YFR032C-A	YJL188C	0.267172
YLL067C	YIL177C	0.266933
YGL194C	YGL222C	0.265897
snR75	tT(AGU)J	0.265099
tD(GUC)O	tH(GUG)H	0.264772
YBR126W-B	YDL016C	0.259712
YGR201C	YJL153C	0.258888
YOR383C	YOL158C	0.258497
YOR375C	tH(GUG)M	0.255605
YOL064C	tS(UGA)I	0.25512
YHR030C	YPR005C	0.252153
YJL160C	YNR072W	0.251902
