Transcriptome.t	Transcriptome	Proteome.p	Proteome	Score
YAR018C.t	YAR018C	YJR121W.p	YJR121W	0.739351551468894
YAR018C.t	YAR018C	YGL187C.p	YGL187C	0.737732593852025
YAR018C.t	YAR018C	YPR191W.p	YPR191W	0.719565819964497
YBL030C.t	YBL030C	YJR121W.p	YJR121W	0.709549997161031
YBL030C.t	YBL030C	YGL187C.p	YGL187C	0.700459491651736
YBL045C.t	YBL045C	YJR121W.p	YJR121W	0.714286493159071
YBL045C.t	YBL045C	YGL187C.p	YGL187C	0.739554843935775
YBR012C.t	YBR012C	YNL104C.p	YNL104C	0.85657816045295
YBR012C.t	YBR012C	YMR108W.p	YMR108W	0.859329370343091
YBR012C.t	YBR012C	YNL037C.p	YNL037C	0.839339629424638
YBR012C.t	YBR012C	YHR208W.p	YHR208W	0.837984198536454
YBR012C.t	YBR012C	YJR016C.p	YJR016C	0.856722515930412
YBR012C.t	YBR012C	YER073W.p	YER073W	0.852210950679196
YBR012C.t	YBR012C	YJR025C.p	YJR025C	0.8737427469013
YBR012C.t	YBR012C	YDL182W.p	YDL182W	0.844651944926708
YBR012C.t	YBR012C	YER069W.p	YER069W	0.837238007490305
YBR012C.t	YBR012C	YMR062C.p	YMR062C	0.867409309212268
YBR039W.t	YBR039W	YJR121W.p	YJR121W	0.730700232487517
YBR039W.t	YBR039W	YGL187C.p	YGL187C	0.72653522697275
YBR039W.t	YBR039W	YPR191W.p	YPR191W	0.710943010170733
YBR047W.t	YBR047W	YNL104C.p	YNL104C	0.893785425935891
YBR047W.t	YBR047W	YMR108W.p	YMR108W	0.898202388517788
YBR047W.t	YBR047W	YNL037C.p	YNL037C	0.869123022647288
YBR047W.t	YBR047W	YHR208W.p	YHR208W	0.87913602014524
YBR047W.t	YBR047W	YJR016C.p	YJR016C	0.89673352943258
YBR047W.t	YBR047W	YER073W.p	YER073W	0.888776490459711
YBR047W.t	YBR047W	YJR025C.p	YJR025C	0.904852734628998
YBR047W.t	YBR047W	YDL182W.p	YDL182W	0.88282135852779
YBR047W.t	YBR047W	YER069W.p	YER069W	0.873355138224704
YBR047W.t	YBR047W	YMR062C.p	YMR062C	0.905000289124572
YBR092C.t	YBR092C	YJR121W.p	YJR121W	0.735084611952025
